tstamp,item,correct,actual,grade,totalGrade,maxGrade
"1516908260032","57","b","",0,0,10
"1516908260032","64","7","",0,0,10
"1516908260032","70","17","",0,0,10
"1516908472817","6","b","b",1,3,10
"1516908472817","14","a","a",1,3,10
"1516908472817","29","17","24",0,3,10
"1516908472817","16","a","a",1,3,10
"1516908472817","34","4","",0,3,10
"1516908472817","45","1023,a",",",0,3,10
"1516908472817","47","7","",0,3,10
"1516908472817","57","b","",0,3,10
"1516908472817","64","7","",0,3,10
"1516908472817","70","17","",0,3,10
"1516910381949","1","13","",0,0,15
"1516910381949","2","302","",0,0,15
"1516910381949","3","4","",0,0,15
"1516910381949","4","a,b",",",0,0,15
"1516910381949","5","c","",0,0,15
"1516910381949","6","b","",0,0,15
"1516910381949","7","8","",0,0,15
"1516910381949","8","366","",0,0,15
"1516910381949","9","b","",0,0,15
"1516910381949","10","103","",0,0,15
"1516910381949","11","9","",0,0,15
"1516910381949","12","5","",0,0,15
"1516910381949","13","110","",0,0,15
"1516910381949","14","a","",0,0,15
"1516910381949","15","a","",0,0,15
"1516910400025","1","13","",0,0,15
"1516910400025","2","302","",0,0,15
"1516910400025","3","4","",0,0,15
"1516910400025","4","a,b",",",0,0,15
"1516910400025","5","c","",0,0,15
"1516910400025","6","b","",0,0,15
"1516910400025","7","8","",0,0,15
"1516910400025","8","366","",0,0,15
"1516910400025","9","b","",0,0,15
"1516910400025","10","103","",0,0,15
"1516910400025","11","9","",0,0,15
"1516910400025","12","5","",0,0,15
"1516910400025","13","110","",0,0,15
"1516910400025","14","a","",0,0,15
"1516910400025","15","a","",0,0,15
"1516910792079","1","13","13",1,12,15
"1516910792079","2","302","",0,12,15
"1516910792079","3","4","4",1,12,15
"1516910792079","4","a,b","a,b",1,12,15
"1516910792079","5","c","c",1,12,15
"1516910792079","6","b","b",1,12,15
"1516910792079","7","8","4",0,12,15
"1516910792079","8","366","366",1,12,15
"1516910792079","9","b","b",1,12,15
"1516910792079","10","103","103",1,12,15
"1516910792079","11","9","9",1,12,15
"1516910792079","12","5","6",0,12,15
"1516910792079","13","110","110",1,12,15
"1516910792079","14","a","a",1,12,15
"1516910792079","15","a","a",1,12,15
"1516911471824","1","13","21",0,0,15
"1516911471824","2","302","",0,0,15
"1516911471824","3","4","",0,0,15
"1516911471824","4","a,b",",",0,0,15
"1516911471824","5","c","",0,0,15
"1516911471824","6","b","",0,0,15
"1516911471824","7","8","",0,0,15
"1516911471824","8","366","",0,0,15
"1516911471824","9","b","",0,0,15
"1516911471824","10","103","",0,0,15
"1516911471824","11","9","",0,0,15
"1516911471824","12","5","",0,0,15
"1516911471824","13","110","",0,0,15
"1516911471824","14","a","",0,0,15
"1516911471824","15","a","",0,0,15
"1516911509235","1","13","13",1,1,15
"1516911509235","2","302","",0,1,15
"1516911509235","3","4","",0,1,15
"1516911509235","4","a,b",",",0,1,15
"1516911509235","5","c","",0,1,15
"1516911509235","6","b","",0,1,15
"1516911509235","7","8","",0,1,15
"1516911509235","8","366","",0,1,15
"1516911509235","9","b","",0,1,15
"1516911509235","10","103","",0,1,15
"1516911509235","11","9","",0,1,15
"1516911509235","12","5","",0,1,15
"1516911509235","13","110","",0,1,15
"1516911509235","14","a","",0,1,15
"1516911509235","15","a","",0,1,15
"1516912428323","1","13","13",1,1,15
"1516912428323","2","302","",0,1,15
"1516912428323","3","4","",0,1,15
"1516912428323","4","a,b",",",0,1,15
"1516912428323","5","c","",0,1,15
"1516912428323","6","b","",0,1,15
"1516912428323","7","8","",0,1,15
"1516912428323","8","366","",0,1,15
"1516912428323","9","b","",0,1,15
"1516912428323","10","103","",0,1,15
"1516912428323","11","9","",0,1,15
"1516912428323","12","5","",0,1,15
"1516912428323","13","110","",0,1,15
"1516912428323","14","a","",0,1,15
"1516912428323","15","a","",0,1,15
"1516917495067","1","13","21",0,7,15
"1516917495067","2","302","301",0,7,15
"1516917495067","3","4","4",1,7,15
"1516917495067","4","a,b","b,a",0,7,15
"1516917495067","5","c","c",1,7,15
"1516917495067","6","b","b",1,7,15
"1516917495067","7","8","7",0,7,15
"1516917495067","8","366","366",1,7,15
"1516917495067","9","b","b",1,7,15
"1516917495067","10","103","103",1,7,15
"1516917495067","11","9","9",1,7,15
"1516917495067","12","5","6",0,7,15
"1516917495067","13","110","",0,7,15
"1516917495067","14","a","",0,7,15
"1516917495067","15","a","",0,7,15
"1516917714824","1","13","",0,0,15
"1516917714824","2","302","",0,0,15
"1516917714824","3","4","",0,0,15
"1516917714824","4","a,b",",",0,0,15
"1516917714824","5","c","",0,0,15
"1516917714824","6","b","",0,0,15
"1516917714824","7","8","",0,0,15
"1516917714824","8","366","",0,0,15
"1516917714824","9","b","",0,0,15
"1516917714824","10","103","",0,0,15
"1516917714824","11","9","",0,0,15
"1516917714824","12","5","",0,0,15
"1516917714824","13","110","",0,0,15
"1516917714824","14","a","",0,0,15
"1516917714824","15","a","",0,0,15
"1516923815766","1","13","21",0,0,15
"1516923815766","2","302","",0,0,15
"1516923815766","3","4","",0,0,15
"1516923815766","4","a,b",",",0,0,15
"1516923815766","5","c","",0,0,15
"1516923815766","6","b","",0,0,15
"1516923815766","7","8","",0,0,15
"1516923815766","8","366","",0,0,15
"1516923815766","9","b","",0,0,15
"1516923815766","10","103","",0,0,15
"1516923815766","11","9","",0,0,15
"1516923815766","12","5","",0,0,15
"1516923815766","13","110","",0,0,15
"1516923815766","14","a","",0,0,15
"1516923815766","15","a","",0,0,15
"1516952038578","1","13","13",1,1,15
"1516952038578","2","302","",0,1,15
"1516952038578","3","4","",0,1,15
"1516952038578","4","a,b",",",0,1,15
"1516952038578","5","c","",0,1,15
"1516952038578","6","b","",0,1,15
"1516952038578","7","8","",0,1,15
"1516952038578","8","366","",0,1,15
"1516952038578","9","b","",0,1,15
"1516952038578","10","103","",0,1,15
"1516952038578","11","9","",0,1,15
"1516952038578","12","5","",0,1,15
"1516952038578","13","110","",0,1,15
"1516952038578","14","a","",0,1,15
"1516952038578","15","a","",0,1,15
"1516952049694","13","110","100",0,0,10
"1516952049694","2","302","",0,0,10
"1516952049694","30","6","",0,0,10
"1516952049694","25","29","",0,0,10
"1516952049694","35","a","",0,0,10
"1516952049694","43","13","",0,0,10
"1516952049694","56","2,3",",",0,0,10
"1516952049694","49","19","",0,0,10
"1516952049694","66","7","",0,0,10
"1516952049694","67","68","",0,0,10
"1516952052576","6","b","b",1,1,10
"1516952052576","15","a","",0,1,10
"1516952052576","20","15,21",",",0,1,10
"1516952052576","25","29","",0,1,10
"1516952052576","37","b","",0,1,10
"1516952052576","34","4","",0,1,10
"1516952052576","60","16","",0,1,10
"1516952052576","56","2,3",",",0,1,10
"1516952052576","65","4","",0,1,10
"1516952052576","75","34","",0,1,10
"1516952076777","3","4","3",0,0,10
"1516952076777","11","9","",0,0,10
"1516952076777","24","b","",0,0,10
"1516952076777","28","62","",0,0,10
"1516952076777","32","73","",0,0,10
"1516952076777","35","a","",0,0,10
"1516952076777","52","22","",0,0,10
"1516952076777","57","b","",0,0,10
"1516952076777","61","b","",0,0,10
"1516952076777","65","4","",0,0,10
"1516952082160","12","5","2",0,0,10
"1516952082160","3","4","",0,0,10
"1516952082160","24","b","",0,0,10
"1516952082160","21","14","",0,0,10
"1516952082160","45","1023,a",",",0,0,10
"1516952082160","31","106","",0,0,10
"1516952082160","52","22","",0,0,10
"1516952082160","55","c","",0,0,10
"1516952082160","75","34","",0,0,10
"1516952082160","66","7","",0,0,10
"1516952106824","11","9","9",1,1,10
"1516952106824","8","366","",0,1,10
"1516952106824","20","15,21",",",0,1,10
"1516952106824","23","14","",0,1,10
"1516952106824","35","a","",0,1,10
"1516952106824","37","b","",0,1,10
"1516952106824","46","16","",0,1,10
"1516952106824","50","20","",0,1,10
"1516952106824","61","b","",0,1,10
"1516952106824","65","4","",0,1,10
"1516952118002","4","a,b","a,b",1,1,10
"1516952118002","14","a","",0,1,10
"1516952118002","27","23","",0,1,10
"1516952118002","23","14","",0,1,10
"1516952118002","35","a","",0,1,10
"1516952118002","34","4","",0,1,10
"1516952118002","56","2,3",",",0,1,10
"1516952118002","53","14","",0,1,10
"1516952118002","72","b","",0,1,10
"1516952118002","75","34","",0,1,10
"1516952120096","6","b","b",1,1,10
"1516952120096","4","a,b",",",0,1,10
"1516952120096","24","b","",0,1,10
"1516952120096","25","29","",0,1,10
"1516952120096","45","1023,a",",",0,1,10
"1516952120096","33","5","",0,1,10
"1516952120096","58","63,31,31,15",",,,",0,1,10
"1516952120096","59","10","",0,1,10
"1516952120096","62","a","",0,1,10
"1516952120096","65","4","",0,1,10
"1516952146267","9","b","b",1,1,10
"1516952146267","1","13","",0,1,10
"1516952146267","19","29","",0,1,10
"1516952146267","25","29","",0,1,10
"1516952146267","44","10,945",",",0,1,10
"1516952146267","36","b","",0,1,10
"1516952146267","51","21","",0,1,10
"1516952146267","52","22","",0,1,10
"1516952146267","75","34","",0,1,10
"1516952146267","69","51","",0,1,10
"1516952170161","9","b","",0,0,10
"1516952170161","1","13","",0,0,10
"1516952170161","19","29","",0,0,10
"1516952170161","25","29","",0,0,10
"1516952170161","44","10,945",",",0,0,10
"1516952170161","36","b","",0,0,10
"1516952170161","51","21","",0,0,10
"1516952170161","52","22","",0,0,10
"1516952170161","75","34","",0,0,10
"1516952170161","69","51","",0,0,10
"1516952193912","1","13","",0,0,15
"1516952193912","2","302","",0,0,15
"1516952193912","3","4","",0,0,15
"1516952193912","4","a,b",",",0,0,15
"1516952193912","5","c","",0,0,15
"1516952193912","6","b","",0,0,15
"1516952193912","7","8","",0,0,15
"1516952193912","8","366","",0,0,15
"1516952193912","9","b","",0,0,15
"1516952193912","10","103","",0,0,15
"1516952193912","11","9","",0,0,15
"1516952193912","12","5","",0,0,15
"1516952193912","13","110","",0,0,15
"1516952193912","14","a","",0,0,15
"1516952193912","15","a","",0,0,15
"1516952221639","5","c","b",0,0,10
"1516952221639","12","5","8",0,0,10
"1516952221639","18","17","",0,0,10
"1516952221639","28","62","",0,0,10
"1516952221639","31","106","",0,0,10
"1516952221639","32","73","",0,0,10
"1516952221639","57","b","",0,0,10
"1516952221639","58","63,31,31,15",",,,",0,0,10
"1516952221639","64","7","",0,0,10
"1516952221639","70","17","",0,0,10
"1516952229580","9","b","",0,0,10
"1516952229580","1","13","",0,0,10
"1516952229580","19","29","",0,0,10
"1516952229580","25","29","",0,0,10
"1516952229580","44","10,945",",",0,0,10
"1516952229580","36","b","",0,0,10
"1516952229580","51","21","",0,0,10
"1516952229580","52","22","",0,0,10
"1516952229580","75","34","",0,0,10
"1516952229580","69","51","",0,0,10
"1516952235711","10","103","103",1,1,10
"1516952235711","15","a","",0,1,10
"1516952235711","24","b","",0,1,10
"1516952235711","21","14","",0,1,10
"1516952235711","40","1090","",0,1,10
"1516952235711","39","2","",0,1,10
"1516952235711","57","b","",0,1,10
"1516952235711","51","21","",0,1,10
"1516952235711","72","b","",0,1,10
"1516952235711","62","a","",0,1,10
"1516952236530","12","5","3",0,1,10
"1516952236530","11","9","9",1,1,10
"1516952236530","19","29","35",0,1,10
"1516952236530","27","23","",0,1,10
"1516952236530","44","10,945",",",0,1,10
"1516952236530","36","b","",0,1,10
"1516952236530","60","16","",0,1,10
"1516952236530","58","63,31,31,15",",,,",0,1,10
"1516952236530","65","4","",0,1,10
"1516952236530","61","b","",0,1,10
"1516952262549","1","13","13",1,1,10
"1516952262549","3","4","",0,1,10
"1516952262549","22","3","",0,1,10
"1516952262549","18","17","",0,1,10
"1516952262549","37","b","",0,1,10
"1516952262549","39","2","",0,1,10
"1516952262549","58","63,31,31,15",",,,",0,1,10
"1516952262549","54","13","",0,1,10
"1516952262549","74","c,d","",0,1,10
"1516952262549","75","34","",0,1,10
"1516952265720","5","c","b",0,0,10
"1516952265720","12","5","8",0,0,10
"1516952265720","18","17","61",0,0,10
"1516952265720","28","62","",0,0,10
"1516952265720","31","106","",0,0,10
"1516952265720","32","73","",0,0,10
"1516952265720","57","b","",0,0,10
"1516952265720","58","63,31,31,15",",,,",0,0,10
"1516952265720","64","7","",0,0,10
"1516952265720","70","17","",0,0,10
"1516952275021","11","9","9",1,1,10
"1516952275021","8","366","3",0,1,10
"1516952275021","20","15,21","21,28",0,1,10
"1516952275021","23","14","9",0,1,10
"1516952275021","35","a","",0,1,10
"1516952275021","37","b","",0,1,10
"1516952275021","46","16","",0,1,10
"1516952275021","50","20","",0,1,10
"1516952275021","61","b","",0,1,10
"1516952275021","65","4","",0,1,10
"1516952283068","1","13","",0,0,15
"1516952283068","2","302","",0,0,15
"1516952283068","3","4","",0,0,15
"1516952283068","4","a,b",",",0,0,15
"1516952283068","5","c","",0,0,15
"1516952283068","6","b","",0,0,15
"1516952283068","7","8","",0,0,15
"1516952283068","8","366","",0,0,15
"1516952283068","9","b","",0,0,15
"1516952283068","10","103","",0,0,15
"1516952283068","11","9","",0,0,15
"1516952283068","12","5","",0,0,15
"1516952283068","13","110","",0,0,15
"1516952283068","14","a","",0,0,15
"1516952283068","15","a","",0,0,15
"1516952292178","5","c","c",1,1,10
"1516952292178","7","8","",0,1,10
"1516952292178","23","14","",0,1,10
"1516952292178","17","b","",0,1,10
"1516952292178","42","10","",0,1,10
"1516952292178","44","10,945",",",0,1,10
"1516952292178","53","14","",0,1,10
"1516952292178","55","c","",0,1,10
"1516952292178","62","a","",0,1,10
"1516952292178","72","b","",0,1,10
"1516952293500","8","366","366",1,1,10
"1516952293500","5","c","d",0,1,10
"1516952293500","24","b","",0,1,10
"1516952293500","18","17","",0,1,10
"1516952293500","35","a","",0,1,10
"1516952293500","40","1090","",0,1,10
"1516952293500","49","19","",0,1,10
"1516952293500","52","22","",0,1,10
"1516952293500","63","4","",0,1,10
"1516952293500","69","51","",0,1,10
"1516952295508","12","5","2",0,1,10
"1516952295508","7","8","1",0,1,10
"1516952295508","25","29","",0,1,10
"1516952295508","16","a","a",1,1,10
"1516952295508","37","b","",0,1,10
"1516952295508","36","b","",0,1,10
"1516952295508","54","13","",0,1,10
"1516952295508","50","20","",0,1,10
"1516952295508","74","c,d","",0,1,10
"1516952295508","70","17","",0,1,10
"1516952345802","5","c","b",0,0,10
"1516952345802","12","5","8",0,0,10
"1516952345802","18","17","61",0,0,10
"1516952345802","28","62","24",0,0,10
"1516952345802","31","106","",0,0,10
"1516952345802","32","73","",0,0,10
"1516952345802","57","b","",0,0,10
"1516952345802","58","63,31,31,15",",,,",0,0,10
"1516952345802","64","7","",0,0,10
"1516952345802","70","17","",0,0,10
"1516952354142","5","c","b",0,0,10
"1516952354142","12","5","8",0,0,10
"1516952354142","18","17","61",0,0,10
"1516952354142","28","62","24",0,0,10
"1516952354142","31","106","",0,0,10
"1516952354142","32","73","",0,0,10
"1516952354142","57","b","",0,0,10
"1516952354142","58","63,31,31,15",",,,",0,0,10
"1516952354142","64","7","",0,0,10
"1516952354142","70","17","",0,0,10
"1516952438867","1","13","",0,0,15
"1516952438867","2","302","",0,0,15
"1516952438867","3","4","",0,0,15
"1516952438867","4","a,b",",",0,0,15
"1516952438867","5","c","",0,0,15
"1516952438867","6","b","",0,0,15
"1516952438867","7","8","",0,0,15
"1516952438867","8","366","",0,0,15
"1516952438867","9","b","",0,0,15
"1516952438867","10","103","",0,0,15
"1516952438867","11","9","",0,0,15
"1516952438867","12","5","",0,0,15
"1516952438867","13","110","",0,0,15
"1516952438867","14","a","",0,0,15
"1516952438867","15","a","",0,0,15
"1516952454973","5","c","c",1,2,10
"1516952454973","7","8","8",1,2,10
"1516952454973","23","14","20",0,2,10
"1516952454973","17","b","a",0,2,10
"1516952454973","42","10","",0,2,10
"1516952454973","44","10,945",",",0,2,10
"1516952454973","53","14","",0,2,10
"1516952454973","55","c","",0,2,10
"1516952454973","62","a","",0,2,10
"1516952454973","72","b","",0,2,10
"1516952512156","11","9","",0,2,10
"1516952512156","1","13","14",0,2,10
"1516952512156","26","a","a",1,2,10
"1516952512156","21","14","2",0,2,10
"1516952512156","39","2","",0,2,10
"1516952512156","35","a","a",1,2,10
"1516952512156","58","63,31,31,15",",,,",0,2,10
"1516952512156","55","c","",0,2,10
"1516952512156","73","240","",0,2,10
"1516952512156","74","c,d","",0,2,10
"1516952513405","7","8","",0,1,10
"1516952513405","1","13","",0,1,10
"1516952513405","16","a","a",1,1,10
"1516952513405","21","14","",0,1,10
"1516952513405","36","b","",0,1,10
"1516952513405","32","73","",0,1,10
"1516952513405","55","c","",0,1,10
"1516952513405","46","16","",0,1,10
"1516952513405","73","240","",0,1,10
"1516952513405","63","4","",0,1,10
"1516952529237","5","c","c",1,2,10
"1516952529237","12","5","5",1,2,10
"1516952529237","18","17","61",0,2,10
"1516952529237","28","62","24",0,2,10
"1516952529237","31","106","",0,2,10
"1516952529237","32","73","",0,2,10
"1516952529237","57","b","",0,2,10
"1516952529237","58","63,31,31,15",",,,",0,2,10
"1516952529237","64","7","",0,2,10
"1516952529237","70","17","",0,2,10
"1516952548129","5","c","c",1,3,10
"1516952548129","12","5","5",1,3,10
"1516952548129","18","17","17",1,3,10
"1516952548129","28","62","24",0,3,10
"1516952548129","31","106","",0,3,10
"1516952548129","32","73","",0,3,10
"1516952548129","57","b","",0,3,10
"1516952548129","58","63,31,31,15",",,,",0,3,10
"1516952548129","64","7","",0,3,10
"1516952548129","70","17","",0,3,10
"1516952569346","1","13","13",1,5,15
"1516952569346","2","302","30",0,5,15
"1516952569346","3","4","4",1,5,15
"1516952569346","4","a,b","b,a",0,5,15
"1516952569346","5","c","a",0,5,15
"1516952569346","6","b","b",1,5,15
"1516952569346","7","8","4",0,5,15
"1516952569346","8","366","366",1,5,15
"1516952569346","9","b","b",1,5,15
"1516952569346","10","103","",0,5,15
"1516952569346","11","9","3",0,5,15
"1516952569346","12","5","2",0,5,15
"1516952569346","13","110","",0,5,15
"1516952569346","14","a","",0,5,15
"1516952569346","15","a","",0,5,15
"1516952643916","5","c","c",1,4,10
"1516952643916","12","5","5",1,4,10
"1516952643916","18","17","17",1,4,10
"1516952643916","28","62","62",1,4,10
"1516952643916","31","106","",0,4,10
"1516952643916","32","73","",0,4,10
"1516952643916","57","b","",0,4,10
"1516952643916","58","63,31,31,15",",,,",0,4,10
"1516952643916","64","7","",0,4,10
"1516952643916","70","17","",0,4,10
"1516952681026","9","b","b",1,1,10
"1516952681026","14","a","b",0,1,10
"1516952681026","19","29","35",0,1,10
"1516952681026","21","14","17",0,1,10
"1516952681026","44","10,945",",",0,1,10
"1516952681026","36","b","a",0,1,10
"1516952681026","59","10","2",0,1,10
"1516952681026","58","63,31,31,15",",,,",0,1,10
"1516952681026","65","4","",0,1,10
"1516952681026","74","c,d","",0,1,10
"1516952706687","3","4","2",0,1,10
"1516952706687","15","a","b",0,1,10
"1516952706687","21","14","4",0,1,10
"1516952706687","19","29","29",1,1,10
"1516952706687","31","106","220",0,1,10
"1516952706687","43","13","20",0,1,10
"1516952706687","58","63,31,31,15","1,4,9,16",0,1,10
"1516952706687","46","16","",0,1,10
"1516952706687","72","b","",0,1,10
"1516952706687","63","4","",0,1,10
"1516952780099","1","13","13",1,11,15
"1516952780099","2","302","301",0,11,15
"1516952780099","3","4","4",1,11,15
"1516952780099","4","a,b","a,b",1,11,15
"1516952780099","5","c","c",1,11,15
"1516952780099","6","b","b",1,11,15
"1516952780099","7","8","4",0,11,15
"1516952780099","8","366","366",1,11,15
"1516952780099","9","b","b",1,11,15
"1516952780099","10","103","103",1,11,15
"1516952780099","11","9","9",1,11,15
"1516952780099","12","5","5",1,11,15
"1516952780099","13","110","90",0,11,15
"1516952780099","14","a","a",1,11,15
"1516952780099","15","a","c",0,11,15
"1516952787803","1","13","21",0,7,15
"1516952787803","2","302","30",0,7,15
"1516952787803","3","4","4",1,7,15
"1516952787803","4","a,b","a,a",0,7,15
"1516952787803","5","c","c",1,7,15
"1516952787803","6","b","b",1,7,15
"1516952787803","7","8","7",0,7,15
"1516952787803","8","366","366",1,7,15
"1516952787803","9","b","b",1,7,15
"1516952787803","10","103","102",0,7,15
"1516952787803","11","9","7",0,7,15
"1516952787803","12","5","2",0,7,15
"1516952787803","13","110","99",0,7,15
"1516952787803","14","a","a",1,7,15
"1516952787803","15","a","a",1,7,15
"1516952802733","1","13","15",0,2,10
"1516952802733","3","4","3",0,2,10
"1516952802733","26","a","a",1,2,10
"1516952802733","19","29","29",1,2,10
"1516952802733","45","1023,a","100,a",0,2,10
"1516952802733","42","10","",0,2,10
"1516952802733","58","63,31,31,15",",,,",0,2,10
"1516952802733","57","b","",0,2,10
"1516952802733","62","a","",0,2,10
"1516952802733","63","4","",0,2,10
"1516952809775","1","13","",0,0,15
"1516952809775","2","302","",0,0,15
"1516952809775","3","4","",0,0,15
"1516952809775","4","a,b",",",0,0,15
"1516952809775","5","c","",0,0,15
"1516952809775","6","b","",0,0,15
"1516952809775","7","8","",0,0,15
"1516952809775","8","366","",0,0,15
"1516952809775","9","b","",0,0,15
"1516952809775","10","103","",0,0,15
"1516952809775","11","9","",0,0,15
"1516952809775","12","5","",0,0,15
"1516952809775","13","110","",0,0,15
"1516952809775","14","a","",0,0,15
"1516952809775","15","a","",0,0,15
"1516952810708","8","366","366",1,2,10
"1516952810708","5","c","d",0,2,10
"1516952810708","24","b","b",1,2,10
"1516952810708","18","17","20",0,2,10
"1516952810708","35","a","b",0,2,10
"1516952810708","40","1090","67",0,2,10
"1516952810708","49","19","",0,2,10
"1516952810708","52","22","",0,2,10
"1516952810708","63","4","",0,2,10
"1516952810708","69","51","",0,2,10
"1516952817297","3","4","",0,0,10
"1516952817297","15","a","",0,0,10
"1516952817297","21","14","",0,0,10
"1516952817297","19","29","",0,0,10
"1516952817297","31","106","",0,0,10
"1516952817297","43","13","",0,0,10
"1516952817297","58","63,31,31,15",",,,",0,0,10
"1516952817297","46","16","",0,0,10
"1516952817297","72","b","",0,0,10
"1516952817297","63","4","",0,0,10
"1516952818193","1","13","",0,0,15
"1516952818193","2","302","",0,0,15
"1516952818193","3","4","",0,0,15
"1516952818193","4","a,b",",",0,0,15
"1516952818193","5","c","",0,0,15
"1516952818193","6","b","",0,0,15
"1516952818193","7","8","",0,0,15
"1516952818193","8","366","",0,0,15
"1516952818193","9","b","",0,0,15
"1516952818193","10","103","",0,0,15
"1516952818193","11","9","",0,0,15
"1516952818193","12","5","",0,0,15
"1516952818193","13","110","",0,0,15
"1516952818193","14","a","",0,0,15
"1516952818193","15","a","",0,0,15
"1516952833587","5","c","c",1,4,10
"1516952833587","12","5","5",1,4,10
"1516952833587","18","17","17",1,4,10
"1516952833587","28","62","62",1,4,10
"1516952833587","31","106","121",0,4,10
"1516952833587","32","73","",0,4,10
"1516952833587","57","b","",0,4,10
"1516952833587","58","63,31,31,15",",,,",0,4,10
"1516952833587","64","7","",0,4,10
"1516952833587","70","17","",0,4,10
"1516952847437","8","366","366",1,2,10
"1516952847437","5","c","d",0,2,10
"1516952847437","24","b","b",1,2,10
"1516952847437","18","17","20",0,2,10
"1516952847437","35","a","b",0,2,10
"1516952847437","40","1090","67",0,2,10
"1516952847437","49","19","",0,2,10
"1516952847437","52","22","",0,2,10
"1516952847437","63","4","",0,2,10
"1516952847437","69","51","",0,2,10
"1516952900362","8","366","366",1,1,10
"1516952900362","5","c","d",0,1,10
"1516952900362","24","b","e",0,1,10
"1516952900362","18","17","20",0,1,10
"1516952900362","35","a","b",0,1,10
"1516952900362","40","1090","67",0,1,10
"1516952900362","49","19","",0,1,10
"1516952900362","52","22","",0,1,10
"1516952900362","63","4","",0,1,10
"1516952900362","69","51","",0,1,10
"1516952917930","5","c","c",1,4,10
"1516952917930","12","5","5",1,4,10
"1516952917930","18","17","17",1,4,10
"1516952917930","28","62","62",1,4,10
"1516952917930","31","106","155",0,4,10
"1516952917930","32","73","",0,4,10
"1516952917930","57","b","",0,4,10
"1516952917930","58","63,31,31,15",",,,",0,4,10
"1516952917930","64","7","",0,4,10
"1516952917930","70","17","",0,4,10
"1516952926140","5","c","c",1,4,10
"1516952926140","12","5","5",1,4,10
"1516952926140","18","17","17",1,4,10
"1516952926140","28","62","62",1,4,10
"1516952926140","31","106","110",0,4,10
"1516952926140","32","73","",0,4,10
"1516952926140","57","b","",0,4,10
"1516952926140","58","63,31,31,15",",,,",0,4,10
"1516952926140","64","7","",0,4,10
"1516952926140","70","17","",0,4,10
"1516952939580","1","13","2",0,2,10
"1516952939580","11","9","9",1,2,10
"1516952939580","27","23","(",0,2,10
"1516952939580","21","14","14",1,2,10
"1516952939580","38","6","",0,2,10
"1516952939580","35","a","",0,2,10
"1516952939580","53","14","",0,2,10
"1516952939580","51","21","",0,2,10
"1516952939580","67","68","",0,2,10
"1516952939580","66","7","",0,2,10
"1516952942222","8","366","366",1,3,10
"1516952942222","5","c","a",0,3,10
"1516952942222","24","b","b",1,3,10
"1516952942222","18","17","21",0,3,10
"1516952942222","35","a","a",1,3,10
"1516952942222","40","1090","67",0,3,10
"1516952942222","49","19","",0,3,10
"1516952942222","52","22","",0,3,10
"1516952942222","63","4","",0,3,10
"1516952942222","69","51","",0,3,10
"1516952942401","13","110","120",0,3,10
"1516952942401","2","302","302",1,3,10
"1516952942401","30","6","7",0,3,10
"1516952942401","25","29","10",0,3,10
"1516952942401","35","a","a",1,3,10
"1516952942401","43","13","6",0,3,10
"1516952942401","56","2,3",",",0,3,10
"1516952942401","49","19","",0,3,10
"1516952942401","66","7","7",1,3,10
"1516952942401","67","68","",0,3,10
"1516952943274","6","b","b",1,2,10
